timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-02-10T23:56:49,passive learning,a9588ce6-da8f-49b7-911a-75e99e8ed329,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,425.7828874019906,0.0050275667201715,1.180781771397248e-05,42.5,0.0,3.75,0.005026598550127,0,0.0004435224235605,0.0054701209736876,United States,USA,wyoming,,,Linux-5.14.0-503.19.1.el9_5.x86_64-x86_64-with-glibc2.34,3.12.7,2.8.2,1,AMD EPYC 9454 48-Core Processor,,,-105.801,41.439,10.0,machine,N,1.0
2025-02-11T06:46:05,passive learning,1798afe9-eb54-4cac-bbe7-7de01b27a1fe,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,428.72610005689785,0.0050623207536368,1.180782031456676e-05,42.5,0.0,3.75,0.0050613460168187,0,0.0004465882327456,0.0055079342495643,United States,USA,wyoming,,,Linux-5.14.0-503.19.1.el9_5.x86_64-x86_64-with-glibc2.34,3.12.7,2.8.2,1,AMD EPYC 9454 48-Core Processor,,,-105.801,41.439,10.0,machine,N,1.0
2025-02-11T19:31:16,active learning,959b098e-9513-4ee9-8e0d-f4f3e2f57ca4,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,45907.027698121965,0.5420619394591486,1.1807820428359471e-05,42.5,0.0,3.75,0.5419575645203716,0,0.047819667510491035,0.5897772320308651,United States,USA,wyoming,,,Linux-5.14.0-503.19.1.el9_5.x86_64-x86_64-with-glibc2.34,3.12.7,2.8.2,1,AMD EPYC 9454 48-Core Processor,,,-105.801,41.439,10.0,machine,N,1.0
